"","X.1","X","year","stress","satjob1","health1","jobsecok","fringeok","secondwk","famwkoff","partfull","rincome","race","sex","educ","naicsind07","censusocc00","id","ballot","isco08","stressd","stressn","satjob1d","satjob1n","health1d","health1n","jobsecokd","jobsecokn","fringeokd","fringeokn","secondwkd","famwkoffd","famwkoffn","fulld","rincomed","blackraced","femalesexd","colleged","idvar","computefrey","pct_software","pct_robot","pct_ai","naics_id","yearnaics","ko_ratio","kl_ratio","decline","declineord","declinefac"
"11",11,11,"2002","Often","Somewhat satisfied","Very good","Not too true","Somewhat true","No","Not at all hard","Full-time","$25000 or more","White","Male","14","Commercial, industrial, and other intangible assets rental and leasing","Sales representatives, services, all other",11,"Ballot b",3322,1,3,1,2,1,3,0,1,1,2,0,1,3,1,1,0,1,0,"2002-11",0.391666666666667,0.15,0.115,0.315,10,"2002-10",0.306654591369901,2.00360287741668,0.25,2.75,"Slower than average"
"12",12,12,"2002","Often","Very satisfied","Poor","Somewhat true","Somewhat true","No","Not at all hard","Full-time","$25000 or more","White","Male","11","Machine shops; turned product; screw, nut, and bolt manufacturing","Managers, all other",12,"Ballot a",1219,1,3,1,3,0,0,1,2,1,2,0,1,3,1,1,0,1,0,"2002-12",0.16,0.5,0.26,0.68,11,"2002-11",0.106846064012927,0.349776553401322,0.166666666666667,2.16666666666667,"Average"
"13",13,13,"2002","Always","Somewhat satisfied","Excellent","Very true","Not too true","No","Not too hard","Full-time","$25000 or more","Black","Male","18","Construction, and mining and oil and gas field machinery manufacturing    ","Managers, all other",13,"Ballot b",1219,1,4,1,2,1,4,1,3,0,1,0,1,2,1,1,1,1,1,"2002-13",0.16,0.5,0.26,0.68,12,"2002-12",0.693904400359602,7.16392555191386,0.166666666666667,2.16666666666667,"Average"
"14",14,14,"2002","Hardly ever","Very satisfied","Fair","Very true","Not at all true","No","Somewhat hard","Part-time","$10000 - 14999","White","Female","12","Wholesale electronic markets, agents and brokers","Secretaries and administrative assistants",14,"Ballot c",3343,0,1,1,3,1,1,1,3,0,0,0,0,1,0,0,0,0,0,"2002-14",0.68,0.33,0.43,0.09,13,"2002-13",0.223178342187849,0.43330149744284,0.5,3,"Slower than average"
"15",15,15,"2002","No issp","Not applicable","Very good","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Other","Female","12","Hospitals","Registered nurses",15,"Ballot a",2221,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"2002-15",0.058,0.43,0.22,0.78,14,"2002-14",0.0761296944565964,0.151092580875953,0,0,"Much faster than average"
"16",16,16,"2002","No issp","Not applicable","Good","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","White","Female","12","Computer and peripheral equipment manufacturing    ","Word processors and typists",16,"Ballot c",4131,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"2002-16",0.81,0.18,0.5,0.09,15,"2002-15",0.316640957632909,0.405616248697564,1,5,"Decline"
"17",17,17,"2002","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","White","Female","12","Administration of human resource programs","Eligibility interviewers, government programs",17,"Ballot a",3353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"2002-17",0.39,0.11,0.115,0.315,16,"2002-16",0.0515389373877754,0.0714471373397696,0,2,"Average"
"18",18,18,"2002","Sometimes","Somewhat satisfied","Excellent","Very true","Very true","No","Not too hard","Full-time","$25000 or more","White","Male","15","Beauty salons","Hairdressers, hairstylists, and cosmetologists",18,"Ballot b",5141,0,2,1,2,1,4,1,3,1,3,0,1,2,1,1,0,1,0,"2002-18",0.328666666666667,0.103333333333333,0.226666666666667,0.17,17,"2002-17",0.124322002740858,0.279921043394681,0,0.666666666666667,"Faster than average"
"19",19,19,"2002","Always","Very satisfied","Good","Somewhat true","Somewhat true","Yes","Very hard","Full-time","$25000 or more","White","Male","13","Construction","First-line supervisors of mechanics, installers, and repairers",19,"Ballot c",7231,1,4,1,3,1,2,1,2,1,2,1,0,0,1,1,0,1,0,"2002-19",0.6453,0.376,0.684,0.48,18,"2002-18",0.0530238213759774,0.142119792291001,0.1,2.3,"Average"
"20",20,20,"2002","Sometimes","Very satisfied","Very good","Somewhat true","Somewhat true","No","Not at all hard","Full-time","$25000 or more","White","Male","15","Other professional, scientific, and technical services","First-line supervisors of office and administrative support workers",20,"Ballot a",3341,0,2,1,3,1,3,1,2,1,2,0,1,3,1,1,0,1,0,"2002-20",0.014,0.08,0.08,0.29,19,"2002-19",0.066563608123553,0.126235298248787,0,4,"Little or no change"
"21",21,21,"2002","Sometimes","Somewhat satisfied","Good","Very true","Very true","Yes","Not too hard","Full-time","$25000 or more","Black","Female","13","Hospitals","Health practitioner support technologists and technicians",21,"Ballot c",3210,0,2,1,2,1,2,1,3,1,3,1,1,2,1,1,1,0,0,"2002-21",0.9,0.32,0.33,0.34,14,"2002-14",0.0761296944565964,0.151092580875953,0,0,"Much faster than average"
"22",22,22,"2002","Always","Not too satisfied","Fair","Not too true","Somewhat true","No","Very hard","Full-time","$15000 - 19999","Black","Male","12","Automotive equipment rental and leasing","Automotive and watercraft service attendants",22,"Ballot a",5245,1,4,0,1,1,1,0,1,1,2,0,0,0,1,0,1,1,0,"2002-22",0.4295,0.26,0.81,0.25,20,"2002-20",0.306654591369901,2.00360287741668,0,2,"Average"
"23",23,23,"2002","Often","Somewhat satisfied","Very good","Somewhat true","Somewhat true","No","Very hard","Full-time","$25000 or more","Other","Male","16","Gasoline stations","Supervisors of transportation and material moving workers",23,"Ballot b",1324,1,3,1,2,1,3,1,2,1,2,0,0,0,1,1,0,1,1,"2002-23",0.029,0.72,0.03,0.23,21,"2002-21",0.163785562262517,0.328015833596725,0,2,"Average"
"24",24,24,"2002","Often","Very satisfied","Good","Somewhat true","Somewhat true","No","Not too hard","Full-time","$25000 or more","Black","Female","16","Wired telecommunications carriers","Customer service representatives",24,"Ballot a",4222,1,3,1,3,1,2,1,2,1,2,0,1,2,1,1,1,0,1,"2002-24",0.755,0.545,0.295,0.505,8,"2002-8",0.325524344787214,0.953869385177179,0.5,3.5,"Slower than average"
"25",25,25,"2002","Hardly ever","Somewhat satisfied","Good","Very true","Very true","No","Not at all hard","Full-time","$25000 or more","White","Male","14","Electric power generation, transmission, and distribution","Other healthcare practitioners and technical occupations",25,"Ballot b",2263,0,1,1,2,1,2,1,3,1,3,0,1,3,1,1,0,1,0,"2002-25",0.1075,0.32,0.33,0.34,22,"2002-22",0.347260877177509,1.76898791050501,0,1.5,"Faster than average"
"26",26,26,"2002","No issp","Not applicable","Fair","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","White","Female","12","Hospitals","Nursing, psychiatric, and home health aides",26,"Ballot c",5321,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"2002-26",0.47,0.3,0.57,0.26,14,"2002-14",0.0761296944565964,0.151092580875953,0,0.5,"Much faster than average"
"27",27,27,"2002","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","White","Female","14","Executive offices and legislative bodies","Surveyors, cartographers, and photogrammetrists",27,"Ballot a",2165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"2002-27",0.63,0.07,0.06,0.14,23,"2002-23",0.347262530918516,0.845669650581723,0,1,"Faster than average"
"28",28,28,"2002","Often","Somewhat satisfied","Very good","Not too true","Not too true","Yes","Not at all hard","Part-time","$25000 or more","Other","Female","17","Computer systems design and related services","Computer support specialists",28,"Ballot b",3512,1,3,1,2,1,3,0,1,0,1,1,1,3,0,1,0,0,1,"2002-28",0.65,0.84,0.61,0.68,24,"2002-24",0.0354697344033846,0.0496418580449279,0,0,"Much faster than average"
"29",29,29,"2002","Sometimes","Not too satisfied","Very good","Somewhat true","Somewhat true","No","Very hard","Part-time","$1000 to 2999","Other","Female","12"," restaurants and other food services","Waiters and waitresses",29,"Ballot a",5131,0,2,0,1,1,3,1,2,1,2,0,0,0,0,0,0,0,0,"2002-29",0.9,0.115,0.615,0.07,25,"2002-25",0.115557254239675,0.295541734922122,0,1,"Faster than average"
"30",30,30,"2002","Never","Somewhat satisfied","Excellent","Dont know","Somewhat true","No","Not too hard","Full-time","$10000 - 14999","White","Female","9","Traveler accommodation","Food preparation workers",30,"Ballot b",9412,0,0,1,2,1,4,NA,NA,1,2,0,1,2,1,0,0,0,0,"2002-30",0.85,0.0533333333333333,0.756666666666667,0.05,26,"2002-26",0.15823413073328,0.389960029492801,0,1.5,"Faster than average"
"31",31,31,"2002","Hardly ever","Somewhat satisfied","Excellent","Not too true","Not too true","No","Somewhat hard","Full-time","$25000 or more","Black","Female","14","Non-depository credit and related activities","Computer support specialists",31,"Ballot c",3512,0,1,1,2,1,4,0,1,0,1,0,0,1,1,1,1,0,0,"2002-31",0.65,0.84,0.61,0.68,27,"2002-27",0.244366154580652,0.692312547153806,0,0,"Much faster than average"
"32",32,32,"2002","Often","Very satisfied","Very good","Very true","Very true","No","Somewhat hard","Full-time","$25000 or more","White","Male","16","Employment services","Sales and related workers, all other",32,"Ballot a",5249,1,3,1,3,1,3,1,3,1,3,0,0,1,1,1,0,1,1,"2002-32",0.97,0.065,0.035,0.1,28,"2002-28",0.124322002740858,0.279921043394681,0,2,"Average"
"33",33,33,"2002","Sometimes","Very satisfied","Excellent","Somewhat true","Somewhat true","No","Not too hard","Full-time","$25000 or more","White","Female","16","Other information services","Editors",33,"Ballot b",2642,0,2,1,3,1,4,1,2,1,2,0,1,2,1,1,0,0,1,"2002-33",0.0825,0.05,0.06,0.14,29,"2002-29",0.0792767962654414,0.107244988134365,1,5,"Decline"
"34",34,34,"2002","Sometimes","Very satisfied","Very good","Very true","Somewhat true","Yes","Not at all hard","Full-time","$25000 or more","White","Male","17","Elementary and secondary schools","Counselors",34,"Ballot c",2635,0,2,1,3,1,3,1,3,1,2,1,1,3,1,1,0,1,1,"2002-34",0.043225,0.17,0.09,0.4,6,"2002-6",0.0346388467106889,0.0672407514512778,0,0.888888888888889,"Faster than average"
"35",35,35,"2002","Never","Very satisfied","Excellent","Not at all true","Very true","Yes","Not too hard","Full-time","$4000 to 4999","White","Male","16","Business support services","Writers and authors",35,"Ballot c",2641,0,0,1,3,1,4,0,0,1,3,1,1,2,1,0,0,1,1,"2002-35",0.327666666666667,0.16,0.0866666666666667,0.39,30,"2002-30",0.0515389373877754,0.0714471373397696,0.333333333333333,3.33333333333333,"Slower than average"
"36",36,36,"2002","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Lt $1000","White","Male","8","Newspaper publishers","News analysts, reporters and correspondents",36,"Ballot a",2642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"2002-36",0.0825,0.05,0.06,0.14,31,"2002-31",0.16876818311709,0.443289038888088,1,5,"Decline"
"37",37,37,"2002","Always","Somewhat satisfied","Fair","Not at all true","Somewhat true","No","Somewhat hard","Part-time","$7000 to 7999","White","Female","14","Real estate","Real estate brokers and sales agents",37,"Ballot b",3334,1,4,1,2,1,1,0,0,1,2,0,0,1,0,0,0,0,0,"2002-37",0.635,0.205,0.205,0.475,32,"2002-32",0.740854763304738,14.3401339925545,0.25,2,"Average"
"38",38,38,"2002","Sometimes","Very satisfied","Fair","Very true","Somewhat true","No","Not at all hard","Full-time","$25000 or more","White","Female","20","Computer systems design and related services","Computer support specialists",38,"Ballot c",3512,0,2,1,3,1,1,1,3,1,2,0,1,3,1,1,0,0,1,"2002-38",0.65,0.84,0.61,0.68,24,"2002-24",0.0354697344033846,0.0496418580449279,0,0,"Much faster than average"
"39",39,39,"2002","Often","Somewhat satisfied","Good","Somewhat true","Not too true","No","Not at all hard","Full-time","Refused","White","Male","14","Management, scientific, and technical consulting services","Management analysts",39,"Ballot a",2421,1,3,1,2,1,2,1,2,0,1,0,1,3,1,NA,0,1,0,"2002-39",0.071,0.415,0.22,0.815,33,"2002-33",0.0474008132411494,0.112103855229944,0,1,"Faster than average"
"40",40,40,"2002","Often","Somewhat satisfied","Very good","Very true","Very true","No","Not too hard","Full-time","$25000 or more","White","Male","13","Real estate","First-line supervisors of mechanics, installers, and repairers",40,"Ballot c",7231,1,3,1,2,1,3,1,3,1,3,0,1,2,1,1,0,1,0,"2002-40",0.6453,0.376,0.684,0.48,32,"2002-32",0.740854763304738,14.3401339925545,0.1,2.3,"Average"
"41",41,41,"2002","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","White","Female","16","Aerospace product and parts manufacturing","Secretaries and administrative assistants",41,"Ballot a",3343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,"2002-41",0.68,0.33,0.43,0.09,34,"2002-34",0.180657698248608,0.384577037134414,0.5,3,"Slower than average"
"42",42,42,"2002","Sometimes","Not too satisfied","Excellent","Very true","Very true","No","Somewhat hard","Part-time","$10000 - 14999","Other","Female","10"," restaurants and other food services","Food preparation workers",42,"Ballot a",9412,0,2,0,1,1,4,1,3,1,3,0,0,1,0,0,0,0,0,"2002-42",0.85,0.0533333333333333,0.756666666666667,0.05,25,"2002-25",0.115557254239675,0.295541734922122,0,1.5,"Faster than average"
"43",43,43,"2002","Sometimes","Very satisfied","Very good","Very true","Very true","No","Not too hard","Full-time","$25000 or more","White","Female","17","Elementary and secondary schools","Secondary school teachers",43,"Ballot b",2330,0,2,1,3,1,3,1,3,1,3,0,1,2,1,1,0,0,1,"2002-43",0.0078,0.19,0.1,0.43,6,"2002-6",0.0346388467106889,0.0672407514512778,0,2,"Average"
"44",44,44,"2002","Sometimes","Somewhat satisfied","Excellent","Somewhat true","Very true","No","Not at all hard","Full-time","$25000 or more","Black","Female","14","Bus service and urban transit","Computer support specialists",44,"Ballot a",3512,0,2,1,2,1,4,1,2,1,3,0,1,3,1,1,1,0,0,"2002-44",0.65,0.84,0.61,0.68,35,"2002-35",0.208094149920556,0.517497721650827,0,0,"Much faster than average"
"45",45,45,"2002","Often","Somewhat satisfied","Good","Very true","Not at all true","No","Not too hard","Part-time","$7000 to 7999","White","Female","13","Child day care services","Preschool and kindergarten teachers",45,"Ballot c",2342,1,3,1,2,1,2,1,3,0,0,0,1,2,0,0,0,0,0,"2002-45",0.0787,0.3,0.51,0.44,36,"2002-36",0.0456369518037754,0.0697736487544009,0,1.5,"Faster than average"
"46",46,46,"2002","Often","Somewhat satisfied","Good","Somewhat true","Very true","No","Not at all hard","Full-time","$25000 or more","White","Male","10","Construction","Elevator installers and repairers",46,"Ballot a",7412,1,3,1,2,1,2,1,2,1,3,0,1,3,1,1,0,1,0,"2002-46",0.644076923076923,0.6375,0.6725,0.71,18,"2002-18",0.0530238213759774,0.142119792291001,0.153846153846154,2.76923076923077,"Slower than average"
"47",47,47,"2002","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Full-time","Lt $1000","White","Male","9","Not specified retail trade","Retail salespersons",47,"Ballot b",5223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,"2002-47",0.95,0.02,0.03,0.02,37,"2002-37",0.125375326854501,0.220138923246442,0.5,4.5,"Little or no change"
"48",48,48,"2002","Often","Very satisfied","Good","Very true","Very true","No","Not too hard","Full-time","$25000 or more","White","Female","12","Legal services","Paralegals and legal assistants",49,"Ballot b",3411,1,3,1,3,1,2,1,3,1,3,0,1,2,1,1,0,0,0,"2002-49",0.66,0.16,0.03,0.25,7,"2002-7",0.103639249240435,0.231090810625442,0,2.42857142857143,"Average"
"49",49,49,"2002","No issp","Not applicable","Excellent","Not applicable","Not applicable","Not applicable","Not applicable","Full-time","Not applicable","White","Female","12","Beauty salons","Retail salespersons",50,"Ballot c",5223,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,"2002-50",0.95,0.02,0.03,0.02,17,"2002-17",0.124322002740858,0.279921043394681,0.5,4.5,"Little or no change"
"50",50,50,"2002","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","White","Female","12","Insurance carriers and related activities","Secretaries and administrative assistants",51,"Ballot a",3343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"2002-51",0.68,0.33,0.43,0.09,38,"2002-38",0.19108366441849,0.438075374901541,0.5,3,"Slower than average"
"51",51,51,"2002","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","White","Male","15","Insurance carriers and related activities","First-line supervisors of non-retail sales workers",52,"Ballot b",5200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"2002-52",0.075,0.28,0.2,0.61,38,"2002-38",0.19108366441849,0.438075374901541,1,5,"Decline"
"52",52,52,"2002","Always","Not at all satisfied","Fair","Not at all true","Not at all true","No","Not at all hard","Part-time","$15000 - 19999","White","Male","13","Construction","Drywall installers, ceiling tile installers, and tapers",53,"Ballot c",7123,1,4,0,0,1,1,0,0,0,0,0,1,3,0,0,0,1,0,"2002-53",0.75,0.6,0.66,0.23,18,"2002-18",0.0530238213759774,0.142119792291001,0,2.66666666666667,"Slower than average"
"53",53,53,"2002","Sometimes","Somewhat satisfied","Poor","Somewhat true","Not at all true","No","Very hard","Full-time","$25000 or more","White","Female","17","Elementary and secondary schools","Secondary school teachers",54,"Ballot a",2330,0,2,1,2,0,0,1,2,0,0,0,0,0,1,1,0,0,1,"2002-54",0.0078,0.19,0.1,0.43,6,"2002-6",0.0346388467106889,0.0672407514512778,0,2,"Average"
"54",54,54,"2002","Often","Somewhat satisfied","Fair","Very true","Very true","No","Not too hard","Full-time","$25000 or more","White","Male","20","Construction","Lifeguards and other recreational, and all other protective service workers",55,"Ballot c",5419,1,3,1,2,1,1,1,3,1,3,0,1,2,1,1,0,1,1,"2002-55",0.463333333333333,0.7,0.8,0.4,18,"2002-18",0.0530238213759774,0.142119792291001,0.125,2.5,"Average"
"55",55,55,"2002","Always","Somewhat satisfied","Good","Not too true","Somewhat true","No","Not at all hard","Full-time","$25000 or more","White","Male","13","Motor vehicles and motor vehicle equipment manufacturing","Purchasing agents, except wholesale, retail, and farm products",56,"Ballot a",3323,1,4,1,2,1,2,0,1,1,2,0,1,3,1,1,0,1,0,"2002-56",0.643333333333333,0.57,0.303333333333333,0.883333333333333,39,"2002-39",0.040940751777949,0.383352127567624,1,5,"Decline"
"56",56,56,"2002","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","White","Female","13","Communications, and audio and video equipment manufacturing        ","Electrical, electronics, and electromechanical assemblers",57,"Ballot c",8212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"2002-57",0.922,0.72,0.91,0.34,40,"2002-40",0.0740559311718442,0.191002860167106,0.666666666666667,4.66666666666667,"Decline"
"57",57,57,"2002","Hardly ever","Very satisfied","Excellent","Very true","Somewhat true","No","Not too hard","Full-time","$25000 or more","White","Female","16","Elementary and secondary schools","Secondary school teachers",58,"Ballot a",2330,0,1,1,3,1,4,1,3,1,2,0,1,2,1,1,0,0,1,"2002-58",0.0078,0.19,0.1,0.43,6,"2002-6",0.0346388467106889,0.0672407514512778,0,2,"Average"
"58",58,58,"2002","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Part-time","$1000 to 2999","White","Female","12","Construction","Receptionists and information clerks",59,"Ballot b",4226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"2002-59",0.96,0.71,0.49,0.59,18,"2002-18",0.0530238213759774,0.142119792291001,0,2,"Average"
"59",59,59,"2002","No answer","No answer","Very good","No answer","No answer","No answer","No answer","Full-time","$25000 or more","Other","Female","14","Non-depository credit and related activities","Office clerks, general",60,"Ballot a",4110,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,"2002-60",0.97,0.265,0.3,0.17,27,"2002-27",0.244366154580652,0.692312547153806,1,5,"Decline"
"60",60,60,"2002","Sometimes","Somewhat satisfied","Very good","Somewhat true","Somewhat true","No","Not too hard","Full-time","$25000 or more","White","Male","18","Computer systems design and related services","Software developers, applications and systems software",61,"Ballot b",2512,0,2,1,2,1,3,1,2,1,2,0,1,2,1,1,0,1,1,"2002-61",0.086,0.98,0.88,0.94,24,"2002-24",0.0354697344033846,0.0496418580449279,0,0.5,"Much faster than average"
"61",61,61,"2002","Sometimes","Very satisfied","Good","Very true","Somewhat true","Yes","Not at all hard","Full-time","$5000 to 5999","White","Female","14","Securities, commodities, funds, trusts, and other financial investments","First-line supervisors of office and administrative support workers",62,"Ballot c",3341,0,2,1,3,1,2,1,3,1,2,1,1,3,1,0,0,0,0,"2002-62",0.014,0.08,0.08,0.29,41,"2002-41",0.0187554801783016,0.0345542279226816,0,4,"Little or no change"
"62",62,62,"2002","Sometimes","Somewhat satisfied","Good","Somewhat true","Very true","Yes","Somewhat hard","Full-time","$25000 or more","White","Female","19","Justice, public order, and safety activities","Counselors",63,"Ballot a",2635,0,2,1,2,1,2,1,2,1,3,1,0,1,1,1,0,0,1,"2002-63",0.043225,0.17,0.09,0.4,42,"2002-42",0.103639249240435,0.231090810625442,0,0.888888888888889,"Faster than average"
"63",63,63,"2002","Sometimes","Very satisfied","Very good","Very true","Somewhat true","No","Not too hard","Full-time","$15000 - 19999","White","Female","12","Elementary and secondary schools","Secretaries and administrative assistants",64,"Ballot b",3343,0,2,1,3,1,3,1,3,1,2,0,1,2,1,0,0,0,0,"2002-64",0.68,0.33,0.43,0.09,6,"2002-6",0.0346388467106889,0.0672407514512778,0.5,3,"Slower than average"
"64",64,64,"2002","Hardly ever","Very satisfied","Good","Very true","Very true","No","Not too hard","Full-time","$10000 - 14999","White","Male","8","Administration of economic programs and space research","Production workers, all other",65,"Ballot c",9329,0,1,1,3,1,2,1,3,1,3,0,1,2,1,0,0,1,0,"2002-65",0.813333333333333,0.8375,0.905,0.4275,43,"2002-43",0.0515389373877754,0.0714471373397696,0,2.5,"Average"
"65",65,65,"2002","No issp","Not applicable","Poor","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","White","Male","12","Automotive repair and maintenance","Automotive service technicians and mechanics",66,"Ballot c",7231,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"2002-66",0.6453,0.376,0.684,0.48,44,"2002-44",0.163785562262517,0.328015833596725,0.1,2.3,"Average"
"66",66,66,"2002","Always","Not at all satisfied","Good","Somewhat true","Not too true","No","Not at all hard","Part-time","Don't know","Black","Female","11","Home health care services","Nursing, psychiatric, and home health aides",67,"Ballot b",5321,1,4,0,0,1,2,1,2,0,1,0,1,3,0,NA,1,0,0,"2002-67",0.47,0.3,0.57,0.26,45,"2002-45",0.0761296944565964,0.151092580875953,0,0.5,"Much faster than average"
