"","url","title","authors","paper_number","issued","nber_programs","year","abstract","pdflink","idx","firstauthor"
"18","https://www.nber.org/papers/w24235","AI and Jobs: the role of demand","James Bessen","24235","Issued in January 2018","NBER Program(s):Productivity, Innovation, and Entrepreneurship","2018","
Artificial intelligence (AI) technologies will automate many jobs, but the effect on employment is not obvious. In manufacturing, technology has sharply reduced jobs in recent decades. But before that, for over a century, employment grew, even in industries experiencing rapid technological change. What changed? Demand was highly elastic at first and then became inelastic. The effect of artificial intelligence on jobs will similarly depend critically on the nature of demand. This paper presents a simple model of demand that accurately predicts the rise and fall of employment in the textile, steel and automotive industries. This model provides a useful framework for exploring how AI is likely to affect jobs over the next 10 or 20 years.
","https://www.nber.org/papers/w24235.pdf",18,"James Bessen"
"19","https://www.nber.org/papers/w20485","Polanyi's Paradox and the Shape of Employment Growth","David Autor","20485","Issued in September 2014","NBER Program(s):Labor Studies","2014","
In 1966, the philosopher Michael Polanyi observed, ""We can know more than we can tell... The skill of a driver cannot be replaced by a thorough schooling in the theory of the motorcar; the knowledge I have of my own body differs altogether from the knowledge of its physiology."" Polanyi's observation largely predates the computer era, but the paradox he identified--that our tacit knowledge of how the world works often exceeds our explicit understanding--foretells much of the history of computerization over the past five decades. This paper offers a conceptual and empirical overview of this evolution. I begin by sketching the historical thinking about machine displacement of human labor, and then consider the contemporary incarnation of this displacement--labor market polarization, meaning the simultaneous growth of high-education, high-wage and low-education, low-wages jobs--a manifestation of Polanyi's paradox. I discuss both the explanatory power of the polarization phenomenon and some key puzzles that confront it. I then reflect on how recent advances in artificial intelligence and robotics should shape our thinking about the likely trajectory of occupational change and employment growth. A key observation of the paper is that journalists and expert commentators overstate the extent of machine substitution for human labor and ignore the strong complementarities. The challenges to substituting machines for workers in tasks requiring adaptability, common sense, and creativity remain immense. Contemporary computer science seeks to overcome Polanyi's paradox by building machines that learn from human examples, thus inferring the rules that we tacitly apply but do not explicitly understand.
","https://www.nber.org/papers/w20485.pdf",19,"David Autor"
"20","https://www.nber.org/papers/w25536","Narratives about Technology-Induced Job Degradations Then and Now","Robert J. Shiller","25536","Issued in February 2019","NBER Program(s):Economic Fluctuations and Growth, Labor Studies","2019","
Concerns that technological progress degrades job opportunities have been expressed over much of the last two centuries by both professional economists and the general public. These concerns can be seen in narratives both in scholarly publications and in the news media.  Part of the expressed concern about jobs has been about the potential for increased economic inequality. But another part of the concern has been about a perceived decline in job quality in terms of its effects on monotony vs creativity of work, individual sense of identity, power to act independently, and meaning of life. Public policy should take account of both of these concerns, inequality and job quality.
","https://www.nber.org/papers/w25536.pdf",20,"Robert J. Shiller"
"21","https://www.nber.org/papers/w23127","Rents, Technical Change, and Risk Premia: Accounting for Secular Trends in Interest Rates, Returns on Capital, Earning Yields, and Factor Shares","Ricardo J. Caballero, Emmanuel Farhi, Pierre-Olivier Gourinchas","23127","Issued in February 2017, Revised in June 2017","NBER Program(s):Economic Fluctuations and Growth","2017","
The secular decline in safe interest rates since the early 1980s has been the subject of considerable attention. In this short paper, we argue that it is important to consider the evolution of safe real rates in conjunction with three other first-order macroeconomic stylized facts: the relative constancy of the real return to productive capital, the decline in the labor share, and the decline and subsequent stabilization of the earnings yield. Through the lens of a simple accounting framework, these four facts offer insights into the economic forces that might be at work.
","https://www.nber.org/papers/w23127.pdf",21,"Ricardo J. Caballero"
"22","https://www.nber.org/papers/w24243","Prediction, Judgment and Complexity: A Theory of Decision Making and Artificial Intelligence","Ajay K. Agrawal, Joshua S. Gans, Avi Goldfarb","24243","Issued in January 2018","NBER Program(s):Productivity, Innovation, and Entrepreneurship","2018","
We interpret recent developments in the field of artificial intelligence (AI) as improvements in prediction technology. In this paper, we explore the consequences of improved prediction in decision-making. To do so, we adapt existing models of decision-making under uncertainty to account for the process of determining payoffs. We label this process of determining the payoffs ‘judgment.’ There is a risky action, whose payoff depends on the state, and a safe action with the same payoff in every state. Judgment is costly; for each potential state, it requires thought on what the payoff might be. Prediction and judgment are complements as long as judgment is not too difficult. We show that in complex environments with a large number of potential states, the effect of improvements in prediction on the importance of judgment depend a great deal on whether the improvements in prediction enable automated decision-making. We discuss the implications of improved prediction in the face of complexity for automation, contracts, and firm boundaries.
","https://www.nber.org/papers/w24243.pdf",22,"Ajay K. Agrawal"
"23","https://www.nber.org/papers/w23185","High-Skilled Immigration, STEM Employment, and Non-Routine-Biased Technical Change","Nir Jaimovich, Henry E. Siu","23185","Issued in February 2017","NBER Program(s):Economic Fluctuations and Growth, Labor Studies","2017","
We study the role of foreign-born workers in the growth of employment in STEM occupations since 1980. Given the importance of employment in these fields for research and innovation, we consider their role in a model featuring endogenous non-routine-biased technical change. We use this model to quantify the impact of high-skilled immigration, and the increasing tendency of such immigrants to work in innovation, on the pace of non-routine-biased technical change, the polarization of employment opportunities, and the evolution of wage inequality since 1980.
","https://www.nber.org/papers/w23185.pdf",23,"Nir Jaimovich"
"24","https://www.nber.org/papers/w23667","People Versus Machines: The Impact of Minimum Wages on Automatable Jobs","Grace Lordan, David Neumark","23667","Issued in August 2017, Revised in January 2018","NBER Program(s):Labor Studies, Productivity, Innovation, and Entrepreneurship","2017","
We study the effect of minimum wage increases on employment in automatable jobs – jobs in which employers may find it easier to substitute machines for people – focusing on low-skilled workers for whom such substitution may be spurred by minimum wage increases. Based on CPS data from 1980-2015, we find that increasing the minimum wage decreases significantly the share of automatable employment held by low-skilled workers, and increases the likelihood that low-skilled workers in automatable jobs become nonemployed or employed in worse jobs. The average effects mask significant heterogeneity by industry and demographic group, including substantive adverse effects for older, low-skilled workers in manufacturing. We also find some evidence that the same changes improve job opportunities for higher-skilled workers. The findings imply that groups often ignored in the minimum wage literature are in fact quite vulnerable to employment changes and job loss because of automation following a minimum wage increase.
","https://www.nber.org/papers/w23667.pdf",24,"Grace Lordan"
"25","https://www.nber.org/papers/w25585","Digital Abundance and Scarce Genius: Implications for Wages, Interest Rates, and Growth","Seth G. Benzell, Erik Brynjolfsson","25585","Issued in February 2019","NBER Program(s):Economic Fluctuations and Growth, Labor Studies, Productivity, Innovation, and Entrepreneurship","2019","
Digital versions of labor and capital can be reproduced much more cheaply than their traditional forms. This increases the supply and reduces the marginal cost of both labor and capital. What then, if anything, is becoming scarcer? We posit a third factor, ‘genius’, that cannot be duplicated by digital technologies. Our approach resolves several macroeconomic puzzles. Over the last several decades, both real median wages and the real interest rate have been stagnant or falling in the United States and the World. Furthermore, shares of income paid to labor and capital (properly measured) have also decreased. And despite dramatic advances in digital technologies, the growth rate of measured output has not increased. No competitive neoclassical two-factor model can reconcile these trends. We show that when increasingly digitized capital and labor are sufficiently complementary to inelastically supplied genius, innovation augmenting either of the first two factors can decrease wages and interest rates in the short and long run. Growth is increasingly constrained by the scarce input, not labor or capital. We discuss microfoundations for genius, with a focus on the increasing importance of superstar labor. We also consider consequences for government policy and scale sustainability.
","https://www.nber.org/papers/w25585.pdf",25,"Seth G. Benzell"
"26","https://www.nber.org/papers/w5278","Supplier Relations and Adoption of New Technology: Results of Survey    Research in the U.S. Auto Industry","Susan Helper","5278","Issued in September 1995","NBER Program(s):Productivity, Innovation, and Entrepreneurship","1995","
Using an original data source, this paper investigates the circumstances under which firms adopt computer numerical control (CNC), an important type of flexible automation which can significantly increase productivity, product variety and quality.  The paper shows that arms'-length supplier/customer relationships are a significant barrier to CNC adoption, even where CNC would improve efficiency.  For firms where CNC would be efficient, but who currently receive little commitment from their customers, an increase in contract length of one year would increase the adoption rate by 30%. These results have theoretical implications in two areas.  First, the paper integrates questions of appropriability into the technical change literature, by adding supplier relations as  a determinant of technology adoption.  Second, the paper extends transaction-cost analysis, by relaxing the assumption that agents' private maximizing behavior will always produce organizational forms that maximize social efficiency.
","https://www.nber.org/papers/w5278.pdf",26,"Susan Helper"
"27","https://www.nber.org/papers/w22346","Adoption of New Information and Communications Technologies in the Workplace Today","Timothy Bresnahan, Pai-Ling Yin","22346","Issued in June 2016, Revised in June 2016","NBER Program(s):Productivity, Innovation, and Entrepreneurship","2016","
The invention of new applications based on information and communications technologies (ICTs) has had two economic effects up to now.  These applications have transformed production, creating value for applications-inventing companies and their customers and increasing economic growth through quality improvements.  The same applications have shifted the relative demand for different kinds of labor, raising the demand for already highly-compensated managers and professionals relative to other workers.  This paper considers the likely impact of new ICT technologies coming into application in the workplace today in light of the economic and technical forces behind ICT application up to now.
","https://www.nber.org/papers/w22346.pdf",27,"Timothy Bresnahan"
"28","https://www.nber.org/papers/w26064","Is Employment Polarization Informative About Wage Inequality and Is Employment Really Polarizing?","Jennifer Hunt, Ryan Nunn","26064","Issued in July 2019","NBER Program(s):Labor Studies","2019","
Equating a job with an individual rather than an occupation, we re-examine whether U.S. workers are increasingly concentrated in low and high-wage jobs relative to middle-wage jobs, a phenomenon known as employment polarization. By assigning workers in the CPS to real hourly wage bins with time-invariant thresholds and tracking over time the shares of workers in each, we do find a decline since 1973 in the share of workers earning middle wages. However, we find that a strong increase in the share of workers in the top bin is accompanied by a slight decline in the share in the bottom bin, inconsistent with employment polarization. Turning to occupation-based analysis, we show that the share of employment in low-wage occupations is trending up only from 2002-2012, and that the apparent earlier growth and therefore polarization found in the literature is an artefact of occupation code redefinitions. This new timing rules out the hypothesis that computerization and automation lie behind both rising wage inequality and occupation-based employment polarization in the United States.
","https://www.nber.org/papers/w26064.pdf",28,"Jennifer Hunt"
"29","https://www.nber.org/papers/w24690","Economic Policy for Artificial Intelligence","Ajay K. Agrawal, Joshua S. Gans, Avi Goldfarb","24690","Issued in June 2018","NBER Program(s):Productivity, Innovation, and Entrepreneurship","2018","
Recent progress in artificial intelligence (AI) – a general purpose technology affecting many industries - has been focused on advances in machine learning, which we recast as a quality-adjusted drop in the price of prediction. How will this sharp drop in price impact society? Policy will influence the impact on two key dimensions: diffusion and consequences. First, in addition to subsidies and IP policy that will influence the diffusion of AI in ways similar to their effect on other technologies, three policy categories - privacy, trade, and liability - may be uniquely salient in their influence on the diffusion patterns of AI. Second, labor and antitrust policies will influence the consequences of AI in terms of employment, inequality, and competition.
","https://www.nber.org/papers/w24690.pdf",29,"Ajay K. Agrawal"
"30","https://www.nber.org/papers/w24449","The Impact of Artificial Intelligence on Innovation","Iain M. Cockburn, Rebecca Henderson, Scott Stern","24449","Issued in March 2018","NBER Program(s):Productivity, Innovation, and Entrepreneurship","2018","
Artificial intelligence may greatly increase the efficiency of the existing economy. But it may have an even larger impact by serving as a new general-purpose “method of invention” that can reshape the nature of the innovation process and the organization of R&D.  We distinguish between automation-oriented applications such as robotics and the potential for recent developments in “deep learning” to serve as a general-purpose method of invention, finding strong evidence of a “shift” in the importance of application-oriented learning research since 2009. We suggest that this is likely to lead to a significant substitution away from more routinized labor-intensive research towards research that takes advantage of the interplay between passively generated large datasets and enhanced prediction algorithms.  At the same time, the potential commercial rewards from mastering this mode of research are likely to usher in a period of racing, driven by powerful incentives for individual companies to acquire and control critical large datasets and application-specific algorithms.  We suggest that policies which encourage transparency and sharing of core datasets across both public and private actors may be critical tools for stimulating research productivity and innovation-oriented competition going forward.
","https://www.nber.org/papers/w24449.pdf",30,"Iain M. Cockburn"
"31","https://www.nber.org/papers/w20876","Wage Inequality and Firm Growth","Holger M. Mueller, Paige P. Ouimet, Elena Simintzi","20876","Issued in January 2015","NBER Program(s):Labor Studies","2015","
We examine how within-firm skill premia–wage differentials associated with jobs involving different skill requirements–vary both across firms and over time. Our firm-level results mirror patterns found in aggregate wage trends, except that we find them with regard to increases in firm size. In particular, we find that wage differentials between high- and either medium- or low-skill jobs increase with firm  size, while those between medium- and low-skill jobs are either invariant to firm size or, if anything, slightly decreasing. We find the same pattern within firms over time, suggesting that rising wage inequality–even nuanced patterns, such as  divergent trends in upper- and lower-tail inequality–may be related to firm growth. We explore two possible channels: i) wages associated with “routine” job tasks are relatively lower in larger firms due to a higher degree of automation in these firms, and ii) larger firms pay relatively lower entry-level managerial wages in return for providing better career opportunities. Lastly, we document a strong and positive relation between within-country variation in firm growth and rising wage inequality for a broad set of developed countries. In fact, our results suggest that part of what may be perceived as a global trend toward more wage inequality may be driven by an increase in employment by the largest firms in the economy.
","https://www.nber.org/papers/w20876.pdf",31,"Holger M. Mueller"
"32","https://www.nber.org/papers/w25588","Work of the Past, Work of the Future","David Autor","25588","Issued in February 2019, Revised in February 2019","NBER Program(s):Labor Studies","2019","
Labor markets in U.S. cities today are vastly more educated and skill-intensive than they were five decades ago. Yet, urban non-college workers perform substantially less skilled work than decades earlier. This deskilling reflects the joint effects of automation and international trade, which have eliminated the bulk of non-college production, administrative support, and clerical jobs, yielding a disproportionate polarization of urban labor markets. The unwinding of the urban non-college occupational skill gradient has, I argue, abetted a secular fall in real non-college wages by: (1) shunting non-college workers out of specialized middle-skill occupations into low-wage occupations that require only generic skills; (2) diminishing the set of non-college workers that hold middle-skill jobs in high-wage cities; and (3) attenuating, to a startling degree, the steep urban wage premium for non-college workers that prevailed in earlier decades. Changes in the nature of work—many of which are technological in origin—have been more disruptive and less beneficial for non-college than college workers.
","https://www.nber.org/papers/w25588.pdf",32,"David Autor"
