year,stress,satjob1,health1,jobsecok,fringeok,secondwk,famwkoff,partfull,rincome,race,sex,educ,naicsind07,censusocc00,id,ballot
2002,Hardly ever,Very satisfied,Excellent,Somewhat true,Very true,Yes,Not at all hard,Full-time,$25000 or more,White,Male,12,Construction,Carpenters,84,Ballot b
2002,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,White,Female,12,Not applicable,Not applicable,85,Ballot c
2002,No issp,Not applicable,Poor,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,White,Female,Don't know,Sugar and confectionery products,Food batchmakers,86,Ballot a
2002,No issp,Not applicable,Good,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,White,Female,18,Elementary and secondary schools,Elementary and middle school teachers,87,Ballot b
2002,No issp,Not applicable,Fair,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,White,Male,7,Iron and steel mills and steel product manufacturing ,"Maintenance and repair workers, general",88,Ballot c
2002,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,White,Female,14,Executive offices and legislative bodies,"Office clerks, general",89,Ballot b
2002,No issp,Not applicable,Fair,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,White,Female,12,Specialized design services,Designers,90,Ballot a
2002,No issp,Not applicable,Fair,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,White,Male,12,Motor vehicles and motor vehicle equipment manufacturing,"Grinding, lapping, polishing, and buffing machine tool setters,  operators, and tenders, metal and plastic",91,Ballot b
2002,No issp,Not applicable,Very good,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,White,Female,12,Commercial and industrial machinery and equipment repair and maintenance,"Metal workers and plastic workers, all other",92,Ballot c
2002,Hardly ever,Somewhat satisfied,Very good,Somewhat true,Very true,No,Not too hard,Full-time,$20000 - 24999,White,Female,15,Wired telecommunications carriers,"Office clerks, general",93,Ballot a
2002,Sometimes,Very satisfied,Very good,Somewhat true,Very true,No,Not at all hard,Full-time,$25000 or more,White,Male,16,"Commercial, industrial, and other intangible assets rental and leasing",Marketing and sales managers,94,Ballot b
2002,Hardly ever,Very satisfied,Good,Very true,Not at all true,No,Very hard,Part-time,$3000 to 3999,White,Female,16,Elementary and secondary schools,Postsecondary teachers,95,Ballot b
2002,Often,Somewhat satisfied,Excellent,Somewhat true,Somewhat true,No,Somewhat hard,Full-time,$25000 or more,White,Female,17,Elementary and secondary schools,Special education teachers,96,Ballot a
2002,Hardly ever,Very satisfied,Very good,Somewhat true,Very true,Yes,Not at all hard,Full-time,$25000 or more,White,Male,14,Advertising and related services,Chief executives,97,Ballot b
2002,Hardly ever,Somewhat satisfied,Fair,Somewhat true,Not at all true,No,Somewhat hard,Part-time,$1000 to 2999,White,Female,12,Not specified wholesale trade,"Sales representatives,  wholesale and manufacturing",98,Ballot a
2002,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,White,Female,16,Elementary and secondary schools,Secondary school teachers,99,Ballot a
2002,Sometimes,Somewhat satisfied,Good,Very true,Somewhat true,Yes,Not at all hard,Full-time,$25000 or more,White,Female,13,Hospitals,Computer operators,100,Ballot a
2002,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Part-time,Not applicable,Other,Male,13,"Museums, art galleries, historical sites, and similar institutions",Waiters and waitresses,101,Ballot b
2002,Hardly ever,Very satisfied,Very good,Very true,Somewhat true,No,Not too hard,Full-time,Don't know,White,Female,13,"Colleges and universities, including junior colleges","Office clerks, general",102,Ballot a
2002,Sometimes,Very satisfied,Very good,Very true,Very true,No,Somewhat hard,Full-time,$25000 or more,White,Male,14,"Paper and paper products, merchant wholesalers",Driver/sales workers and truck drivers,103,Ballot b
2002,Sometimes,Very satisfied,Very good,Very true,Very true,Yes,Not too hard,Full-time,$25000 or more,Black,Female,13,"Colleges and universities, including junior colleges",First-line supervisors of office and administrative support workers,104,Ballot c
2002,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Full-time,$10000 - 14999,White,Male,11,Nonmetallic mineral mining and quarrying,"Production workers, all other",105,Ballot c
2002,No issp,Not applicable,Good,Not applicable,Not applicable,Not applicable,Not applicable,Part-time,$10000 - 14999,White,Female,17, restaurants and other food services,Waiters and waitresses,106,Ballot a
2002,No issp,Not applicable,Fair,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,White,Male,12,"Bakeries, except retail",Janitors and building cleaners,107,Ballot c
2002,Sometimes,Somewhat satisfied,Very good,Somewhat true,Not too true,No,Somewhat hard,Full-time,$15000 - 19999,Black,Female,12,Other health care services,"Nursing, psychiatric, and home health aides",108,Ballot a
2002,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,White,Male,14,Furniture and related product manufacturing,Cabinetmakers and bench carpenters,109,Ballot b
2002,No issp,Not applicable,Good,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Other,Female,11,Department stores and discount stores,Retail salespersons,110,Ballot c
2002,Hardly ever,Somewhat satisfied,Very good,Somewhat true,Not at all true,No,Not too hard,Full-time,Refused,White,Male,12,Car washes,Cleaners of vehicles and equipment,111,Ballot c
2002,Sometimes,Somewhat satisfied,Fair,Somewhat true,Somewhat true,Yes,Not at all hard,Full-time,$10000 - 14999,White,Male,2,Medical equipment and supplies manufacturing,"Medical, dental, and ophthalmic laboratory technicians",112,Ballot a
2002,No issp,Not applicable,Fair,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Black,Female,11,Elementary and secondary schools,Janitors and building cleaners,113,Ballot b
2002,Cant choose,Dont know,Dont know,Dont know,Dont know,Dont know,Dont know,Full-time,Don't know,White,Female,12,Hospitals,Registered nurses,114,Ballot a
2002,No issp,Not applicable,Fair,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Black,Female,15,"Electronic component and product manufacturing, n.e.c.","Engineering technicians, except drafters",115,Ballot a
2002,Never,Not at all satisfied,Excellent,Very true,Very true,No,Not at all hard,Full-time,$25000 or more,Black,Male,11,Bus service and urban transit,Janitors and building cleaners,116,Ballot c
2002,Sometimes,Very satisfied,Good,Very true,Very true,No,Not too hard,Full-time,$20000 - 24999,Black,Female,12,Elementary and secondary schools,Teacher assistants,117,Ballot a
2002,No issp,Not applicable,Very good,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Black,Female,12,"Bakeries, except retail",First-line supervisors of production and operating workers,118,Ballot b
2002,No issp,Not applicable,Fair,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Black,Female,12,Hospitals,Registered nurses,119,Ballot c
2002,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,White,Male,12,Taxi and limousine service,Taxi drivers and chauffeurs,120,Ballot a
2002,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,White,Female,11,Insurance carriers and related activities,"Mail clerks and mail machine operators, except postal service",121,Ballot c
2002,No issp,Not applicable,Good,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,White,Female,11,Department stores and discount stores,Retail salespersons,122,Ballot b
2002,No issp,Not applicable,Good,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Black,Male,12,Elementary and secondary schools,Teacher assistants,123,Ballot c
2002,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Black,Male,12,Elementary and secondary schools,Janitors and building cleaners,124,Ballot a
2002,Never,Very satisfied,Fair,Somewhat true,Not at all true,No,Not at all hard,Part-time,Lt $1000,Black,Female,2,Nursing care facilities,Receptionists and information clerks,125,Ballot b
2002,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Not applicable,Not applicable,White,Female,15,"Colleges and universities, including junior colleges",Secretaries and administrative assistants,126,Ballot c
2002,Sometimes,Very satisfied,Good,Not too true,Somewhat true,No,Not at all hard,Full-time,$25000 or more,White,Female,15,Banking and related activities,Network and computer systems administrators,127,Ballot a
2002,Hardly ever,Very satisfied,Excellent,Not too true,Somewhat true,No,Not at all hard,Full-time,$25000 or more,White,Male,16,Investigation and security services,Detectives and criminal investigators,128,Ballot c
2002,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Black,Male,12,Not applicable,Not applicable,129,Ballot b
2002,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,White,Male,17,Industrial and miscellaneous chemicals,General and operations managers,130,Ballot c
2002,Often,Somewhat satisfied,Excellent,Very true,Very true,No,Not at all hard,Full-time,$25000 or more,White,Male,20,Legal services,Lawyers,131,Ballot a
2002,Sometimes,Somewhat satisfied,Excellent,Very true,Very true,No,Not at all hard,Full-time,$25000 or more,White,Female,16,"Drugs, sundries, and chemical and allied products, merchant wholesalers","Sales representatives,  wholesale and manufacturing",132,Ballot c
2002,Always,Not too satisfied,Good,Not at all true,Very true,No,Very hard,Full-time,$25000 or more,White,Female,13,"Wholesale electronic markets, agents and brokers",Secretaries and administrative assistants,133,Ballot a
2002,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,White,Female,12,Elementary and secondary schools,Teacher assistants,134,Ballot b
2002,Always,Very satisfied,Excellent,Very true,Very true,No,Very hard,Full-time,$25000 or more,White,Male,12,"Wholesale electronic markets, agents and brokers",First-line supervisors of non-retail sales workers,135,Ballot b
2002,Hardly ever,Very satisfied,Very good,Very true,Not too true,No,Not too hard,Part-time,$7000 to 7999,White,Female,14,Offices of physicians,Secretaries and administrative assistants,136,Ballot a
2002,Always,Not at all satisfied,Fair,Not at all true,Not too true,No,Somewhat hard,Full-time,$15000 - 19999,White,Female,13,"Electronic component and product manufacturing, n.e.c.","Inspectors, testers, sorters, samplers, and weighers",137,Ballot b
2002,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,White,Male,10,"Structural metals, and boiler, tank, and shipping container manufacturing",Sheet metal workers,138,Ballot a
2002,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Full-time,$25000 or more,White,Male,15,Labor unions,"Other installation, maintenance, and repair workers",139,Ballot b
2002,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Full-time,$15000 - 19999,White,Female,16,Elementary and secondary schools,Teacher assistants,140,Ballot c
2002,No issp,Not applicable,Very good,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,White,Female,14,Hospitals,Secretaries and administrative assistants,141,Ballot a
2002,Often,Somewhat satisfied,Good,Very true,Very true,Yes,Not too hard,Full-time,$20000 - 24999,White,Male,12,Printing and related support activities,Printing press operators,142,Ballot b
2002,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Black,Female,16,Elementary and secondary schools,Secondary school teachers,143,Ballot c
2002,No issp,Not applicable,Good,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,White,Female,12,Wired telecommunications carriers,"Switchboard operators, including answering service",144,Ballot a
2002,Sometimes,Somewhat satisfied,Good,Somewhat true,Very true,No,Not too hard,Full-time,$25000 or more,White,Female,12,Electronic and precision equipment repair and maintenance,Electricians,145,Ballot b
2002,No issp,Not applicable,Fair,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,White,Female,12,National security and international affairs,Secretaries and administrative assistants,146,Ballot c
2002,Hardly ever,Very satisfied,Excellent,Very true,Not at all true,No,Not at all hard,Part-time,Don't know,White,Female,12,Insurance carriers and related activities,Secretaries and administrative assistants,147,Ballot a
2002,No issp,Not applicable,Very good,Not applicable,Not applicable,Not applicable,Not applicable,Part-time,$5000 to 5999,White,Female,12,Construction,Secretaries and administrative assistants,148,Ballot a
2002,No issp,Not applicable,Fair,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,White,Male,14,"Machine shops; turned product; screw, nut, and bolt manufacturing","Industrial engineers, including health and safety",149,Ballot c
2002,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,White,Female,12,Traveler accommodation,Cooks,150,Ballot a
